session_id,date,city,state,address,latitude,longitude,court_name,session_type,court_type,time_spent_mins,weekday
381,12/5/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,120,Thursday
382,12/6/2024,orlando,florida,4141 john young pkwy,28.5873,-81.4145,clearone,recreation,indoors,120,Friday
383,12/6/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,120,Friday
384,12/7/2024,winter_springs,florida,1000 central winds dr,28.7081326,-81.27504164,central_winds_park,drill,outdoors,60,Saturday
385,12/8/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,180,Sunday
386,12/9/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,120,Monday
387,12/10/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,560,Tuesday
388,12/11/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,120,Wednesday
389,12/12/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,drill,outdoors,90,Thursday
390,12/12/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,120,Thursday
391,12/13/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,120,Friday
392,12/14/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,120,Saturday
393,12/15/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,210,Sunday
394,12/16/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,drill,outdoors,60,Monday
395,12/17/2024,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,150,Tuesday
396,12/18/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,180,Wednesday
397,12/19/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,150,Thursday
398,12/20/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,180,Friday
399,12/21/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,180,Saturday
400,12/23/2024,jupiter,florida,3377 church st,26.94658173,-80.14771252,jupiter_community_park,recreation,outdoors,60,Monday
401,12/24/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,120,Tuesday
402,12/26/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,120,Thursday
403,12/27/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,120,Friday
404,12/28/2024,orlando,florida,4141 john young pkwy,28.5873,-81.4145,clearone,recreation,indoors,120,Saturday
405,12/28/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,180,Saturday
406,12/30/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,120,Monday
407,12/31/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,drill,outdoors,90,Tuesday
408,1/2/2025,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,150,Thursday
409,1/2/2025,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,120,Thursday
410,1/3/2025,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,240,Saturday
411,1/6/2025,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,180,Monday
412,1/7/2025,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,90,Tuesday
413,1/7/2025,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,240,Tuesday
414,1/8/2025,orlando,florida,4141 john young pkwy,28.5873,-81.4145,clearone,recreation,indoors,150,Wednesday
415,1/10/2025,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,drill,outdoors,180,Friday
416,1/10/2025,orlando,florida,4141 john young pkwy,28.5873,-81.4145,clearone,recreation,indoors,180,Friday
417,1/12/2025,orlando,florida,4141 john young pkwy,28.5873,-81.4145,clearone,recreation,indoors,150,Sunday
